Section,Key,English,Korean (현재)
Hero,hero_main,What happens when one person refuses to stop.,"한 사람이 멈추지 않는다면, 어떤 일이 벌어질까."
Manifesto,manifesto_text,"I keep making things. Some for clients, some for myself, most because the idea wouldn't leave me alone. AI showed up and the gap between ""I should build that"" and ""it's live"" shrank to almost nothing. That's dangerous for someone like me. I have too many ideas. And now, not enough excuses.","나는 계속 뭔가를 만든다. 어떤 건 클라이언트를 위한 것이고, 어떤 것은 나를 위해. 나를 위한 것의 대부분은 아이디어가 머릿속에서 떠나지 않아서 만든다. AI가 등장한 이후로로 ""이거 만들어야지!”와 “출시했다!"" 사이의 거리는 거의 사라져버렸다. 나 같은 사람에게는 꽤 위험한 변화다. 아이디어는 넘치고데, 이제는 핑계가 없다."
Belief,belief_01_title,Make it.,일단 만들자.
Belief,belief_01_desc,"If an idea sticks around long enough, it earns the right to exist. I'd rather build a rough version today than a perfect pitch deck next quarter.","계속해서 생각나는 아이디어라면 일단 만들어볼 가치가 있다. 언제가 될지 모르는 다음을 위해서 완벽한 계획을 하는것 보다 지금, 오늘 투박한 프로토타입을 만드는게 좋다."
Belief,belief_02_title,Kill it.,과감히 접어!
Belief,belief_02_desc,"Most of what I start doesn't ship. That's not failure, that’s editing. The hard part was never starting. It's knowing when to stop.",시작한 것 대부분은 출시까지 가지 않는다. 이건 실패라기보다 일종의 편집에 가깝다. 진짜 어려운 건 시작이 아니라 멈출 타이밍을 아는 것이다.
Belief,belief_03_title,Again.,그리고 다시.
Belief,belief_03_desc,Every project I finish leaves behind two new questions. I've learned to trust that rhythm. The work feeds the work.,하나를 끝내면 늘 새로운 질문들이 생긴다. 나는 그 질문들이 이끄는 흐름을 믿고 다음 작업을 자연스럽게 임하도록 하도록 해준다.
Products,pastlife_desc,"I built Mir, an AI seer who reads your soul through tarot and reveals the past life you never knew you lived. Cinematic narratives, painted portraits, and 30-second films of who you used to be.","미르는 타로를 바탕으로 당신의 영혼을 읽고, 당신도 몰랐던 전생을 그려 주는 AI 점술가다. 시네마틱 서사, 회화풍 초상, 30초 영상까지 한 번에 만들고 당신의 전생과 대화를 통해 미래를 볼수 있도록 돕는다."
Products,screenstyler_desc,"A Mac app that unlocks peak brightness up to 1600 nits and lets you customize your display like editing a photo. Professional HDR controls, beyond what Apple gives you out of the box.","맥북이나 일부 애플 디스플레이의 잠긴 최대 밝기를 1600니트까지 열고, 사진 보정하듯 화면을 세밀하게 조정할 수 있는 앱이다. 애플 기본 설정에서 불가능한 전문가수준의 HDR 컨트롤을 제공한다."
Products,stiqs_desc,"A macOS note app that feels like real sticky notes toss, crumple, and pin them to your wall. Lay out memos, PDFs, images, code, and to-dos on one canvas, connect ideas visually, and let AI do the rest. No complex tools, just instinct.","진짜 포스트잇처럼 던지고, 구기고, 벽에 붙이는 macOS 노트 앱. 메모, PDF, 이미지, 코드, 투두, 테이블, 스티커 등 8가지 노트를 하나의 캔버스에 자유롭게 펼치고, 커넥터로 아이디어를 이어 붙이면 AI가 요약, 확장까지 해준다. 복잡한 도구 없이, 손끝 감각만으로 생각을 정리한다."
Products,ddalggak_desc,"AI-powered product, marketingimage generator for small business owners. Upload a product photo, pick from 100+ styling presets, and get platform-ready images for Coupang, Instagram, Naver, and more — in under 20 seconds. No photographer, no studio.","소상공인을 위한 AI 마케팅 이미지 생성기. 제품 사진 한 장을 올리고 100개 이상의 스타일 프리셋에서 고르면, 쿠팡·인스타그램·네이버용 최고 수준의 제품 이미지를 20초 안에 만들어준다."
BigQuote,big_quote,The work is the argument.,결과물이 곧 증명이다.
About,about_heading,About Raymind.AI,Raymind.AI 소개
About,about_col1,"Raymind.AI is just me. Ray is how I see things. Mind is what I can't turn off. AI is what finally let me keep up with my own head. Everything here is self-initiated — no clients, no briefs, no one asking for it. Just things I wanted to exist.","Raymind.AI는 개인의 작업들이다. Ray는 내가 보는 방식, Mind는 꺼지지 않는 나의 생각들, AI는 그 속도를 따라잡게 해준 것. 여기 있는 건 전부 그렇게 시작한 것 들이다. 클라이언트도, 브리프도, 부탁도 없다. 그냥 존재했으면 하는 것들이다."
About,about_col2,"I've spent most of my career building products for others, sometimes for big names, sometimes for small ones. That work still lives somewhere. See it if you're curious. Now I build my own — incorporated in the US and South Korea, open to the right conversation if you have one.",오랜시간 다양한 팀과 회사를 위해 제품을 만들어 왔다. 그 중 일부는 알려진 제품이기도 하고 그렇지 않은 것들도 있다. 일부는 아직 사용되고 있기도 하다. 궁금하면 내가 AI를 본격적으로 사용하기 이전 작업들을 확인해봐. 이제는 미국과 한국에 법인을 두고 나의 작업들을 하고잇다. 결이 맞다고 생가고디면 이야기 해보자.
Waitlist,waitlist_sub,"I send updates when there's something worth your time. Rarely. But when I do, it's because something shipped.",뭔가를 출시하면 그때 알려드릴게요. 자주 보내진 않습니다.
Contact,contact_desc,"Whether it's a project, a partnership, or just a good conversation — I'm always interested in what other people are making.","프로젝트든 파트너십이든, 그냥 좋은 대화든. 다른 사람들이 무엇을 만들고 있는지 늘 궁금하다."